country_destination,lat_destination,lng_destination,distance_km,destination_km2,destination_language,language_levenshtein_distance
AU,-26.853388,133.2751600,15297.7440,7741220,eng,0.00
CA,62.393303,-96.8181460,2828.1333,9984670,eng,0.00
DE,51.165707,10.4527640,7879.5680,357022,deu,72.61
ES,39.896027,-2.4876945,7730.7240,505370,spa,92.25
FR,46.232193,2.2096670,7682.9450,643801,fra,92.06
GB,54.633220,-3.4322774,6883.6590,243610,eng,0.00
IT,41.873990,12.5641670,8636.6310,301340,ita,89.40
NDF,NULL,NULL,NULL,NULL,NULL,NULL
NL,52.133057,5.2952500,7524.3203,41543,nld,63.22
other,NULL,NULL,NULL,NULL,NULL,NULL
PT,39.553444,-7.8393190,7355.2534,92090,por,95.45
US,36.966427,-95.8440300,0.0000,9826675,eng,0.00
